workerid,intensity,approach,rt,stimulus,trial_index
675,high,distract,1771,iaps/3150h.JPG,59
675,high,distract,2269,iaps/9420h.JPG,62
675,low,reappraise,1334,iaps/9470l.jpg,65
675,low,reappraise,1386,iaps/2312l.jpg,68
675,high,distract,1139,iaps/3140h.JPG,71
675,low,reappraise,1277,iaps/9160l.JPG,74
675,high,distract,1208,iaps/3068h.jpg,77
675,high,reappraise,3018,iaps/6831h.jpg,80
675,high,distract,1276,iaps/3530h.JPG,83
675,high,distract,1437,iaps/3180h.JPG,86
675,low,reappraise,1254,iaps/2691l.jpg,89
675,high,distract,1376,iaps/3261h.jpg,92
675,low,reappraise,1178,iaps/1301l.jpg,95
675,high,reappraise,2363,iaps/3230h.JPG,98
675,low,reappraise,1630,iaps/6010l.JPG,101
675,low,reappraise,5165,iaps/2700l.JPG,104
675,low,reappraise,8985,iaps/6190l.JPG,107
675,low,distract,6361,iaps/6836l.jpg,110
675,low,reappraise,2217,iaps/7360l.JPG,113
675,high,reappraise,27107,iaps/2053h.JPG,116
675,low,reappraise,15269,iaps/9102l.JPG,119
675,high,distract,1302,iaps/9410h.JPG,122
675,high,reappraise,159609,iaps/9252h.jpg,125
675,low,reappraise,1149,iaps/2490l.JPG,128
684,low,distract,2356,iaps/9470l.jpg,41
684,high,distract,2788,iaps/3140h.JPG,44
684,high,distract,2917,iaps/9420h.JPG,47
684,high,distract,2704,iaps/6831h.jpg,50
684,low,reappraise,2518,iaps/2700l.JPG,53
684,high,distract,1351,iaps/2800h.JPG,56
684,low,reappraise,2430,iaps/2278l.jpg,59
684,high,distract,2447,iaps/9252h.jpg,62
684,high,distract,2191,iaps/3150h.JPG,65
684,low,distract,1543,iaps/2490l.JPG,68
684,high,reappraise,971,iaps/9410h.JPG,71
684,high,distract,1928,iaps/3068h.jpg,74
684,low,distract,1280,iaps/6190l.JPG,77
684,low,distract,3273,iaps/9440l.JPG,80
684,high,reappraise,2223,iaps/3261h.jpg,83
684,high,distract,1128,iaps/3180h.JPG,86
684,low,distract,1319,iaps/2312l.jpg,89
684,high,distract,946,iaps/3530h.JPG,92
684,high,distract,3493,iaps/9181h.jpg,95
684,low,distract,1599,iaps/6010l.JPG,98
684,high,reappraise,2894,iaps/3000h.JPG,101
684,low,distract,2522,iaps/6836l.jpg,104
684,high,distract,3116,iaps/2053h.JPG,107
684,low,distract,2701,iaps/9120l.JPG,110
684,low,reappraise,1516,iaps/7360l.JPG,113
684,low,reappraise,614,iaps/9102l.JPG,116
684,low,distract,457,iaps/9160l.JPG,119
684,low,reappraise,2499,iaps/1301l.jpg,122
684,low,distract,3102,iaps/2691l.jpg,125
684,high,distract,1026,iaps/3230h.JPG,128
707,high,distract,5678,iaps/3000h.JPG,41
707,high,distract,2029,iaps/3261h.jpg,44
707,high,distract,2938,iaps/9252h.jpg,47
707,low,distract,1615,iaps/9470l.jpg,50
707,low,distract,5279,iaps/6010l.JPG,53
707,low,distract,5201,iaps/7360l.JPG,56
707,low,distract,1593,iaps/2691l.jpg,59
707,low,distract,6087,iaps/9102l.JPG,62
707,high,distract,1173,iaps/3068h.jpg,65
707,low,distract,4223,iaps/9120l.JPG,68
707,high,distract,1086,iaps/3180h.JPG,71
707,low,distract,1647,iaps/2312l.jpg,74
707,high,distract,2643,iaps/3150h.JPG,77
707,low,distract,3984,iaps/6190l.JPG,80
707,high,reappraise,1908,iaps/6831h.jpg,83
707,high,distract,1443,iaps/3230h.JPG,86
707,low,distract,1554,iaps/2278l.jpg,89
707,high,distract,1532,iaps/3140h.JPG,92
707,low,distract,3047,iaps/2700l.JPG,95
707,high,reappraise,8041,iaps/2800h.JPG,98
707,low,distract,4661,iaps/6836l.jpg,101
707,low,distract,1790,iaps/1301l.jpg,104
707,low,distract,1516,iaps/9440l.JPG,107
707,low,distract,1017,iaps/9160l.JPG,110
707,high,distract,1588,iaps/9181h.jpg,113
707,high,distract,3797,iaps/2053h.JPG,116
707,high,distract,1492,iaps/9410h.JPG,119
707,high,distract,7407,iaps/3530h.JPG,122
707,high,distract,3423,iaps/9420h.JPG,125
707,low,distract,2657,iaps/2490l.JPG,128
689,low,reappraise,1754,iaps/2700l.JPG,41
689,low,distract,10502,iaps/6836l.jpg,44
689,high,distract,1802,iaps/3000h.JPG,47
689,high,distract,1940,iaps/9181h.jpg,50
689,high,reappraise,1785,iaps/3180h.JPG,53
689,high,distract,2335,iaps/9252h.jpg,56
689,high,reappraise,1433,iaps/3140h.JPG,59
689,high,distract,3339,iaps/2053h.JPG,62
689,high,distract,3805,iaps/2800h.JPG,65
689,low,distract,2085,iaps/6190l.JPG,68
689,high,distract,8819,iaps/9410h.JPG,71
689,low,distract,2885,iaps/2312l.jpg,74
689,low,reappraise,1501,iaps/9102l.JPG,77
689,low,distract,1353,iaps/6010l.JPG,80
689,low,distract,1939,iaps/9440l.JPG,83
689,high,reappraise,2403,iaps/3230h.JPG,86
689,high,distract,1340,iaps/3261h.jpg,89
689,high,distract,1225,iaps/3150h.JPG,92
689,low,reappraise,1309,iaps/2691l.jpg,95
689,low,reappraise,1337,iaps/9160l.JPG,98
689,low,reappraise,1387,iaps/2490l.JPG,101
689,low,distract,5455,iaps/9120l.JPG,104
689,low,reappraise,2372,iaps/7360l.JPG,107
689,low,distract,3037,iaps/1301l.jpg,110
689,low,reappraise,1519,iaps/9470l.jpg,113
